City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Port Moresby,PG,89.6,haze,-9.44,147.18,Lamana Hotel
291,Sola,VU,82.13,light rain,-13.88,167.55,Ulkel Guest House
292,Acapulco,MX,78.24,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
293,Padang,ID,82.8,overcast clouds,-0.95,100.35,Mercure Padang
294,Kavieng,PG,84.4,scattered clouds,-2.57,150.8,Nusa Island Retreat
296,Chimoio,MZ,77.0,clear sky,-19.12,33.48,Predio Livraria Ahmed
299,Wanning,CN,76.95,broken clouds,18.8,110.4,Paradise Hotel
303,Kavaratti,IN,84.7,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
305,Soyo,AO,78.8,broken clouds,-6.13,12.37,Hotel Mpampa
306,Meulaboh,ID,84.92,broken clouds,4.14,96.13,Kost Pria
307,Kadiri,IN,78.89,clear sky,14.12,78.17,Railway Guest House
314,West Bay,KY,80.01,clear sky,19.37,-81.42,Calypso Cove
325,Badiraguato,MX,77.0,few clouds,25.37,-107.52,"Hotel ""Real Del Campo"""
326,Aitape,PG,84.79,light rain,-3.14,142.35,
328,Monrovia,LR,77.13,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
329,Kabanjahe,ID,82.4,broken clouds,3.1,98.49,Pelindung Bawah Losmen
333,Kailua,US,80.6,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
334,Dhana,IN,79.86,clear sky,23.75,78.85,Shiva bakery
339,Vila Velha,BR,77.0,light rain,-20.33,-40.29,Hotel Vitória Palace
347,Bambanglipuro,ID,85.93,broken clouds,-7.95,110.28,Puri Brata
358,Otavi,,80.02,scattered clouds,-19.65,17.33,Stop 'n Stay Otavi Rest Camp
362,Amalapuram,IN,80.6,haze,16.58,82.02,swayamprabha service apartments
365,Quatre Cocos,MU,79.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
367,Harper,LR,77.34,light rain,4.38,-7.72,Screensaver
368,Saint-Leu,RE,78.8,few clouds,-21.15,55.28,La Caz Oceane
373,Vanimo,PG,84.56,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
374,Codrington,AU,76.19,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
375,Anito,PH,84.02,overcast clouds,12.45,125.29,The Yellow House
376,Chambas,CU,77.0,light rain,22.19,-78.91,
377,Tiarei,PF,78.8,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
379,Luanda,AO,75.2,broken clouds,-8.84,13.23,EPIC SANA Luanda
383,Jizan,SA,82.4,clear sky,17.33,42.67,شهدان. ابوالحجر
385,Bandarbeyla,SO,81.21,clear sky,9.49,50.81,REER XOOSHLE GROUP
389,Kloulklubed,PW,86.0,broken clouds,7.04,134.26,Storyboard Beach Resort
391,Bambous Virieux,MU,79.0,shower rain,-20.34,57.76,Casa Tia Villa
394,Lashio,MM,82.08,light rain,22.93,97.75,Hotel CF Lashio - Burmese Only
